Código área de residencia;Nombre área de residencia;Código área de destino;Nombre área de destino;Flujo origen-destino (nº de personas)
19GC;Santa María de Guía de Gran Canaria;48GC;Palmas de Gran Canaria, Las (SCD Number 2-E);115
19GC;Santa María de Guía de Gran Canaria;49GC;Palmas de Gran Canaria, Las (SCD No. 3-A y sección 046 del distrito 03);116
19GC;Santa María de Guía de Gran Canaria;50GC;Palmas de Gran Canaria, Las (SCD Number 3-B);80
19GC;Santa María de Guía de Gran Canaria;51GC;Palmas de Gran Canaria, Las (SCD Number 3-C);90
19GC;Santa María de Guía de Gran Canaria;54GC;Palmas de Gran Canaria, Las (SCD No 4-C y sección 084 del distrito 04);73
19GC;Santa María de Guía de Gran Canaria;56GC;Palmas de Gran Canaria, Las (SCD Number 4-E);128
19GC;Santa María de Guía de Gran Canaria;57GC;Palmas de Gran Canaria, Las (SCD Number 5-A);90
19GC;Santa María de Guía de Gran Canaria;OTRO;OTROS DESTINOS;283
19GI;Begur y otros municipios;18GI;Mont-ras y otros municipios;46
19GI;Begur y otros municipios;19GI;Begur y otros municipios;4.001
19GI;Begur y otros municipios;20GI;Verges y otros municipios;38
19GI;Begur y otros municipios;26GI;Sant Pere Pescador y otros municipios;17
19GI;Begur y otros municipios;29GI;Cadaqués y otros municipios;24
19GI;Begur y otros municipios;38GI;Bisbal d'Empordà, La;19
19GI;Begur y otros municipios;41GI;Calonge;22
19GI;Begur y otros municipios;45GI;Castell-Platja d'Aro;33
19GI;Begur y otros municipios;46GI;Escala, L';26
19GI;Begur y otros municipios;53GI;Palafrugell;336
19GI;Begur y otros municipios;54GI;Palamós;105
19GI;Begur y otros municipios;57GI;Roses;35
19GI;Begur y otros municipios;63GI;Torroella de Montgrí;307
19GI;Begur y otros municipios;OTRO;OTROS DESTINOS;290
19GP;Beasain;03GP;Urretxu y Antzuola;28
19GP;Beasain;05GP;Zegama y otros municipios;119
19GP;Beasain;06GP;Idiazabal y otros municipios;128
19GP;Beasain;07GP;Alegia y otros municipios;69
19GP;Beasain;12GP;Getaria y otros municipios;29
19GP;Beasain;14GP;Legorreta y otros municipios;90
19GP;Beasain;19GP;Beasain;9.515
19GP;Beasain;23GP;Hondarribia;30
19GP;Beasain;25GP;Lazkao;89
19GP;Beasain;38GP;Ordizia;145
19GP;Beasain;49GP;Donostia/San Sebastián (distrito 02);33
19GP;Beasain;53GP;Donostia/San Sebastián (distrito 06);55
19GP;Beasain;OTRO;OTROS DESTINOS;751
19GR;Vélez de Benaudalla y otros municipios;03GR;Dúrcal y Nigüelas;18
19GR;Vélez de Benaudalla y otros municipios;17GR;Lecrín y otros municipios;53
19GR;Vélez de Benaudalla y otros municipios;19GR;Vélez de Benaudalla y otros municipios;2.427
19GR;Vélez de Benaudalla y otros municipios;20GR;Lanjarón y otros municipios;163
19GR;Vélez de Benaudalla y otros municipios;21GR;Polopos y otros municipios;33
19GR;Vélez de Benaudalla y otros municipios;37GR;Almuñécar;53
19GR;Vélez de Benaudalla y otros municipios;38GR;Armilla;26
19GR;Vélez de Benaudalla y otros municipios;55GR;Órgiva;117
19GR;Vélez de Benaudalla y otros municipios;60GR;Salobreña;91
19GR;Vélez de Benaudalla y otros municipios;66GR;Granada (distrito 02);39
19GR;Vélez de Benaudalla y otros municipios;67GR;Granada (distrito 03);32
19GR;Vélez de Benaudalla y otros municipios;69GR;Granada (distrito 07);21
19GR;Vélez de Benaudalla y otros municipios;80GR;Motril (distrito 01);69
19GR;Vélez de Benaudalla y otros municipios;81GR;Motril (distrito 02);41
19GR;Vélez de Benaudalla y otros municipios;82GR;Motril (distrito 03);21
19GR;Vélez de Benaudalla y otros municipios;83GR;Motril (distrito 04);56
19GR;Vélez de Benaudalla y otros municipios;84GR;Motril (distrito 05) y Torrenueva Costa;106
19GR;Vélez de Benaudalla y otros municipios;OTRO;OTROS DESTINOS;389
19GU;Azuqueca de Henares;01GU;Yunquera de Henares y Fontanar;21
19GU;Azuqueca de Henares;026M;Ajalvir;27
19GU;Azuqueca de Henares;034M;Camarma de Esteruelas y Valdeavero;53
19GU;Azuqueca de Henares;03GU;Guadalajara (distrito 04) y Chiloeches;172
19GU;Azuqueca de Henares;052M;Meco;262
19GU;Azuqueca de Henares;065M;San Fernando de Henares;65
19GU;Azuqueca de Henares;06GU;Humanes y otros municipios;48
19GU;Azuqueca de Henares;083M;Alcalá de Henares (distrito 01);57
19GU;Azuqueca de Henares;084M;Alcalá de Henares (distrito 02);65
19GU;Azuqueca de Henares;085M;Alcalá de Henares (distrito 03);162
19GU;Azuqueca de Henares;086M;Alcalá de Henares (distrito 04);99
19GU;Azuqueca de Henares;087M;Alcalá de Henares (distrito 05) y Santos de la Humosa, Los;238
19GU;Azuqueca de Henares;08GU;Torija y otros municipios;64
19GU;Azuqueca de Henares;101M;Coslada (distritos 03 y 04);24
19GU;Azuqueca de Henares;10GU;Pioz y Pozo de Guadalajara;29
19GU;Azuqueca de Henares;136M;Torrejón de Ardoz (distrito 01);97
19GU;Azuqueca de Henares;137M;Torrejón de Ardoz (distrito 02);44
19GU;Azuqueca de Henares;138M;Torrejón de Ardoz (distrito 03);45
19GU;Azuqueca de Henares;139M;Torrejón de Ardoz (distrito 04);33
19GU;Azuqueca de Henares;17GU;Cabanillas del Campo y otros municipios;374
19GU;Azuqueca de Henares;18GU;Alovera;563
19GU;Azuqueca de Henares;19GU;Azuqueca de Henares;22.019
19GU;Azuqueca de Henares;20GU;Marchamalo;83
19GU;Azuqueca de Henares;21GU;Villanueva de la Torre;123
19GU;Azuqueca de Henares;22GU;Guadalajara (distrito 01);133
19GU;Azuqueca de Henares;23GU;Guadalajara (distrito 02);107
19GU;Azuqueca de Henares;24GU;Guadalajara (distrito 03);136
19GU;Azuqueca de Henares;25GU;Guadalajara (distrito 05);110
19GU;Azuqueca de Henares;278M;Madrid (SCD Rejas);50
19GU;Azuqueca de Henares;283M;Madrid (SCD Timón-Casco Historico-Aeropuerto);48
19GU;Azuqueca de Henares;293M;San Sebastián de los Reyes (sección 047 y otras secciones del distrito 01);19
19GU;Azuqueca de Henares;OTRO;OTROS DESTINOS;1.813
19HS;Fraga y Torrente de Cinca;01LL;Lleida (distritos 08 y 09);47
19HS;Fraga y Torrente de Cinca;13LL;Alcarràs y otros municipios;98
19HS;Fraga y Torrente de Cinca;14HS;Binaced y otros municipios;33
19HS;Fraga y Torrente de Cinca;17HS;Alcolea de Cinca y otros municipios;65
19HS;Fraga y Torrente de Cinca;18HS;Zaidín y otros municipios;215
19HS;Fraga y Torrente de Cinca;19HS;Fraga y Torrente de Cinca;10.971
19HS;Fraga y Torrente de Cinca;20LL;Aitona y otros municipios;87
19HS;Fraga y Torrente de Cinca;22LL;Juneda y otros municipios;210
19HS;Fraga y Torrente de Cinca;35ZA;Mequinenza y otros municipios;58
19HS;Fraga y Torrente de Cinca;OTRO;OTROS DESTINOS;1.149
19HU;Aljaraque;01HU;Ayamonte y Villablanca;117
19HU;Aljaraque;19HU;Aljaraque;12.310
19HU;Aljaraque;20HU;Almonte;20
19HU;Aljaraque;23HU;Cartaya;236
19HU;Aljaraque;24HU;Gibraleón y San Bartolomé de la Torre;432
19HU;Aljaraque;25HU;Huelva (distrito 01);359
19HU;Aljaraque;26HU;Huelva (distrito 02);264
19HU;Aljaraque;27HU;Huelva (distrito 03);376
19HU;Aljaraque;28HU;Huelva (distrito 04);119
19HU;Aljaraque;29HU;Huelva (distrito 05);101
19HU;Aljaraque;30HU;Huelva (distrito 06);239
19HU;Aljaraque;31HU;Huelva (distrito 07);479
19HU;Aljaraque;32HU;Huelva (distrito 08);207
19HU;Aljaraque;33HU;Isla Cristina;86
19HU;Aljaraque;34HU;Lepe;103
19HU;Aljaraque;35HU;Moguer;129
19HU;Aljaraque;37HU;Palos de la Frontera;280
19HU;Aljaraque;38HU;Punta Umbría;583
19HU;Aljaraque;OTRO;OTROS DESTINOS;489
19JA;Arroyo del Ojanco y otros municipios;12AB;Riópar y otros municipios;32
19JA;Arroyo del Ojanco y otros municipios;17JA;Castellar y otros municipios;30
19JA;Arroyo del Ojanco y otros municipios;18JA;Beas de Segura y Segura de la Sierra;178
19JA;Arroyo del Ojanco y otros municipios;19JA;Arroyo del Ojanco y otros municipios;4.765
19JA;Arroyo del Ojanco y otros municipios;20JA;Siles y otros municipios;192
19JA;Arroyo del Ojanco y otros municipios;21JA;Santiago-Pontones y otros municipios;93
19JA;Arroyo del Ojanco y otros municipios;OTRO;OTROS DESTINOS;288
19LE;Carrizo y otros municipios;06LE;León (distritos 08 y 09);25
19LE;Carrizo y otros municipios;08LE;Chozas de Abajo y otros municipios;64
19LE;Carrizo y otros municipios;18LE;Santa María del Páramo y otros municipios;42
19LE;Carrizo y otros municipios;19LE;Carrizo y otros municipios;3.717
19LE;Carrizo y otros municipios;20LE;Llamas de la Ribera y otros municipios;159
19LE;Carrizo y otros municipios;21LE;Benavides y otros municipios;136
19LE;Carrizo y otros municipios;23LE;Villarejo de Órbigo y otros municipios;45
19LE;Carrizo y otros municipios;32LE;Astorga;17
19LE;Carrizo y otros municipios;36LE;San Andrés del Rabanedo;77
19LE;Carrizo y otros municipios;37LE;Valverde de la Virgen;37
19LE;Carrizo y otros municipios;41LE;Villaquilambre;28
19LE;Carrizo y otros municipios;43LE;León (distrito 02);23
19LE;Carrizo y otros municipios;44LE;León (distrito 03);43
19LE;Carrizo y otros municipios;47LE;León (distrito 06);22
19LE;Carrizo y otros municipios;48LE;León (distrito 07);24
19LE;Carrizo y otros municipios;OTRO;OTROS DESTINOS;491
19LO;Lardero;01LO;Fuenmayor y otros municipios;68
19LO;Lardero;02LO;Albelda de Iregua y otros municipios;191
19LO;Lardero;03LO;Logroño (distritos 01 y 06);192
19LO;Lardero;04LO;San Asensio y otros municipios;18
19LO;Lardero;07VI;Oyón-Oion y otros municipios;43
19LO;Lardero;08VI;Laguardia y otros municipios;24
19LO;Lardero;09LO;Entrena y otros municipios;102
19LO;Lardero;11LO;Agoncillo y otros municipios;112
19LO;Lardero;19LO;Lardero;5.463
19LO;Lardero;22LO;Villamediana de Iregua;81
19LO;Lardero;23LO;Logroño (distrito 02);513
19LO;Lardero;24LO;Logroño (distrito 03);251
19LO;Lardero;25LO;Logroño (distrito 04);492
19LO;Lardero;25NA;Viana y Aras;25
19LO;Lardero;26LO;Logroño (distrito 05);66
19LO;Lardero;OTRO;OTROS DESTINOS;594
19LU;Mondoñedo y otros municipios;04AS;Tapia de Casariego y Castropol;32
19LU;Mondoñedo y otros municipios;16LU;Pontenova, A y otros municipios;25
19LU;Mondoñedo y otros municipios;17LU;Pastoriza, A y Abadín;54
19LU;Mondoñedo y otros municipios;18LU;Barreiros y otros municipios;232
19LU;Mondoñedo y otros municipios;19LU;Mondoñedo y otros municipios;4.878
19LU;Mondoñedo y otros municipios;20LU;Cervo y Xove;61
19LU;Mondoñedo y otros municipios;26LU;Foz;214
19LU;Mondoñedo y otros municipios;29LU;Ribadeo;68
19LU;Mondoñedo y otros municipios;31LU;Vilalba;28
19LU;Mondoñedo y otros municipios;32LU;Viveiro;29
19LU;Mondoñedo y otros municipios;33LU;Burela;161
19LU;Mondoñedo y otros municipios;OTRO;OTROS DESTINOS;376
19MA;Antequera y Valle de Abdalajís;05MA;Casarabonela y otros municipios;23
19MA;Antequera y Valle de Abdalajís;06MA;Almogía y Villanueva de la Concepción;108
19MA;Antequera y Valle de Abdalajís;07MA;Casabermeja y Colmenar;123
19MA;Antequera y Valle de Abdalajís;08MA;Villanueva del Trabuco y Villanueva del Rosario;79
19MA;Antequera y Valle de Abdalajís;10CO;Benamejí y otros municipios;73
19MA;Antequera y Valle de Abdalajís;15MA;Rincón de la Victoria y otros municipios;88
19MA;Antequera y Valle de Abdalajís;16MA;Villanueva de Algaidas y Villanueva de Tapia;83
19MA;Antequera y Valle de Abdalajís;18MA;Sierra de Yeguas y otros municipios;175
19MA;Antequera y Valle de Abdalajís;19MA;Antequera y Valle de Abdalajís;31.831
19MA;Antequera y Valle de Abdalajís;22CO;Rute e Iznájar;23
19MA;Antequera y Valle de Abdalajís;23MA;Ronda y otros municipios;67
19MA;Antequera y Valle de Abdalajís;24MA;Alameda;29
19MA;Antequera y Valle de Abdalajís;28MA;Álora;68
19MA;Antequera y Valle de Abdalajís;29MA;Archidona;181
19MA;Antequera y Valle de Abdalajís;31MA;Campillos;101
19MA;Antequera y Valle de Abdalajís;36MA;Mollina;211
19MA;Antequera y Valle de Abdalajís;37MA;Nerja;40
19MA;Antequera y Valle de Abdalajís;42MA;Benalmádena (distrito 03);18
19MA;Antequera y Valle de Abdalajís;52MA;Marbella (distrito 04);22
19MA;Antequera y Valle de Abdalajís;57MA;Vélez-Málaga (distrito 04);22
19MA;Antequera y Valle de Abdalajís;58CO;Lucena;33
19MA;Antequera y Valle de Abdalajís;58MA;Torremolinos;253
19MA;Antequera y Valle de Abdalajís;59MA;Málaga (SCD Centro);29
19MA;Antequera y Valle de Abdalajís;60MA;Málaga (SCD Litoral Este: Malaqueta-Limonar);58
19MA;Antequera y Valle de Abdalajís;61MA;Málaga (SCD Litoral Este: El Palo - El Candado);36
19MA;Antequera y Valle de Abdalajís;62MA;Málaga (SCD Pedrizas: Ciudad Jardín);39
19MA;Antequera y Valle de Abdalajís;OTRO;OTROS DESTINOS;1.796
19MU;Fortuna;03MU;Abanilla;214
19MU;Fortuna;19MU;Fortuna;6.587
19MU;Fortuna;25MU;Molina de Segura (sección 007 y otras secciones del distrito 01);64
19MU;Fortuna;37MU;Santomera;72
19MU;Fortuna;52MU;Murcia (SCD Number 1-B);33
19MU;Fortuna;57MU;Murcia (SCD Number 4-A);66
19MU;Fortuna;59MU;Murcia (SCD Number 4-C);76
19MU;Fortuna;67MU;Molina de Segura (sección 051 y otras secciones del distrito 01);166
19MU;Fortuna;68MU;Molina de Segura (sección 026 y otras secciones del distrito 01);38
19MU;Fortuna;OTRO;OTROS DESTINOS;840
19NA;Artajona y otros municipios;05NA;Cizur y Galar;21
19NA;Artajona y otros municipios;08NA;Beriáin y otros municipios;16
19NA;Artajona y otros municipios;09NA;Larraga y otros municipios;39
19NA;Artajona y otros municipios;19NA;Artajona y otros municipios;2.694
19NA;Artajona y otros municipios;20NA;Sangüesa/Zangoza y otros municipios;72
19NA;Artajona y otros municipios;21NA;Olite/Erriberri y otros municipios;103
19NA;Artajona y otros municipios;22NA;Carcastillo y otros municipios;25
19NA;Artajona y otros municipios;30NA;Falces y otros municipios;19
19NA;Artajona y otros municipios;31NA;Marcilla y Caparroso;18
19NA;Artajona y otros municipios;46NA;Noáin (Valle de Elorz)/Noain (Elortzibar);27
19NA;Artajona y otros municipios;52NA;Tafalla;75
19NA;Artajona y otros municipios;55NA;Barañain;17
19NA;Artajona y otros municipios;60NA;Pamplona/Iruña (distrito 02);41
19NA;Artajona y otros municipios;61NA;Pamplona/Iruña (distrito 03);38
19NA;Artajona y otros municipios;62NA;Pamplona/Iruña (distrito 04);23
19NA;Artajona y otros municipios;65NA;Pamplona/Iruña (distrito 07);24
19NA;Artajona y otros municipios;OTRO;OTROS DESTINOS;507
19OU;Vilardevós y otros municipios;02OU;Allariz y Taboadela;25
19OU;Vilardevós y otros municipios;17OU;Monterrei y otros municipios;118
19OU;Vilardevós y otros municipios;19OU;Vilardevós y otros municipios;3.911
19OU;Vilardevós y otros municipios;20OU;Viana do Bolo y otros municipios;67
19OU;Vilardevós y otros municipios;28OU;Verín;350
19OU;Vilardevós y otros municipios;OTRO;OTROS DESTINOS;228
19PA;Palencia (distrito 02);01PA;Venta de Baños;28
19PA;Palencia (distrito 02);02PA;Grijota y otros municipios;78
19PA;Palencia (distrito 02);03PA;Dueñas y otros municipios;45
19PA;Palencia (distrito 02);04PA;Baltanás y otros municipios;20
19PA;Palencia (distrito 02);05PA;Villarramiel y otros municipios;20
19PA;Palencia (distrito 02);06PA;Astudillo y otros municipios;39
19PA;Palencia (distrito 02);16PA;Villamuriel de Cerrato;59
19PA;Palencia (distrito 02);17BU;Lerma y otros municipios;17
19PA;Palencia (distrito 02);18PA;Palencia (distrito 01);31
19PA;Palencia (distrito 02);19PA;Palencia (distrito 02);2.523
19PA;Palencia (distrito 02);20PA;Palencia (distrito 03);39
19PA;Palencia (distrito 02);21PA;Palencia (distrito 04);52
19PA;Palencia (distrito 02);22PA;Palencia (distrito 05);386
19PA;Palencia (distrito 02);23PA;Palencia (distrito 06);90
19PA;Palencia (distrito 02);24PA;Palencia (distrito 07);171
19PA;Palencia (distrito 02);OTRO;OTROS DESTINOS;224
19PO;Gondomar;12PO;Baiona y Oia;550
19PO;Gondomar;16PO;Cangas;42
19PO;Gondomar;19PO;Gondomar;7.813
19PO;Gondomar;26PO;Moaña;31
19PO;Gondomar;27PO;Mos;76
19PO;Gondomar;28PO;Nigrán;908
19PO;Gondomar;29PO;Porriño, O;150
19PO;Gondomar;34PO;Redondela;16
19PO;Gondomar;40PO;Tomiño;97
19PO;Gondomar;41PO;Tui;158
19PO;Gondomar;52PO;Vigo (SCD Vigo centro 1);147
19PO;Gondomar;53PO;Vigo (SCD Vigo centro 2);104
19PO;Gondomar;54PO;Vigo (SCD Vigo centro 3);104
19PO;Gondomar;55PO;Vigo (SCD Vigo centro-zona Balaidos);36
19PO;Gondomar;56PO;Vigo (SCD Distrito 4-zona Coia);89
19PO;Gondomar;57PO;Vigo (SCD Distrito 4-zona Balaidos);65
19PO;Gondomar;58PO;Vigo (SCD Distrito 5-zona Freixeiro-Castrelos);79
19PO;Gondomar;59PO;Vigo (SCD Distrito 6-zona Teis);25
19PO;Gondomar;60PO;Vigo (SCD Distrito 7-zona Calvario);37
19PO;Gondomar;61PO;Vigo (SCD Distrito 7-zona Lavadores);100
19PO;Gondomar;62PO;Vigo (SCD Distrito 8-zona Beade Bembrive);288
19PO;Gondomar;63PO;Vigo (SCD Distrito 9-zona Oia Coruxo);157
19PO;Gondomar;OTRO;OTROS DESTINOS;422
19SA;Lumbrales y otros municipios;15SA;Fuentes de Oñoro y otros municipios;46
19SA;Lumbrales y otros municipios;18SA;Vitigudino y otros municipios;69
19SA;Lumbrales y otros municipios;19SA;Lumbrales y otros municipios;3.645
19SA;Lumbrales y otros municipios;20SA;Aldeadávila de la Ribera y otros municipios;85
19SA;Lumbrales y otros municipios;OTRO;OTROS DESTINOS;167
19SG;Palazuelos de Eresma;02SG;Hontanares de Eresma y otros municipios;40
19SG;Palazuelos de Eresma;04SG;Lastrilla, La y otros municipios;17
19SG;Palazuelos de Eresma;06SG;Carbonero el Mayor y otros municipios;21
19SG;Palazuelos de Eresma;09SG;Segovia (distritos 01 y 02);51
19SG;Palazuelos de Eresma;10SG;San Cristóbal de Segovia y otros municipios;116
19SG;Palazuelos de Eresma;12SG;Cantimpalos y otros municipios;20
19SG;Palazuelos de Eresma;19SG;Palazuelos de Eresma;2.503
19SG;Palazuelos de Eresma;20SG;Real Sitio de San Ildefonso;174
19SG;Palazuelos de Eresma;21SG;Segovia (distrito 03);101
19SG;Palazuelos de Eresma;22SG;Segovia (distrito 04);264
19SG;Palazuelos de Eresma;23SG;Segovia (distrito 05);125
19SG;Palazuelos de Eresma;25SG;Segovia (distrito 07);86
19SG;Palazuelos de Eresma;OTRO;OTROS DESTINOS;414
19TA;Alforja y otros municipios;14TA;Cambrils y Vinyols i els Arcs;26
19TA;Alforja y otros municipios;15TA;Riudoms y otros municipios;31
19TA;Alforja y otros municipios;16TA;Riudecols y otros municipios;18
19TA;Alforja y otros municipios;17TA;Falset y otros municipios;76
19TA;Alforja y otros municipios;18TA;Flix y otros municipios;21
19TA;Alforja y otros municipios;19TA;Alforja y otros municipios;3.295
19TA;Alforja y otros municipios;20TA;Vimbodí i Poblet y otros municipios;68
19TA;Alforja y otros municipios;32TA;Reus (distritos 09 y 10);25
19TA;Alforja y otros municipios;55TA;Vandellòs i l'Hospitalet de l'Infant;22
19TA;Alforja y otros municipios;58TA;Salou;17
19TA;Alforja y otros municipios;61TA;Reus (distrito 02);16
19TA;Alforja y otros municipios;65TA;Reus (distrito 06);32
19TA;Alforja y otros municipios;67TA;Reus (distrito 08);27
19TA;Alforja y otros municipios;OTRO;OTROS DESTINOS;430
19TF;Granadilla de Abona;02TF;Güímar y Fasnia;320
19TF;Granadilla de Abona;03TF;San Miguel de Abona y Vilaflor de Chasna;1.630
19TF;Granadilla de Abona;04TF;Garachico y Tanque, El;26
19TF;Granadilla de Abona;06TF;Valle Gran Rey y otros municipios;36
19TF;Granadilla de Abona;12TF;Adeje;1.532
19TF;Granadilla de Abona;13TF;Arafo;37
19TF;Granadilla de Abona;14TF;Arico;598
19TF;Granadilla de Abona;18TF;Candelaria;69
19TF;Granadilla de Abona;19TF;Granadilla de Abona;32.924
19TF;Granadilla de Abona;21TF;Guía de Isora;234
19TF;Granadilla de Abona;25TF;Orotava, La;54
19TF;Granadilla de Abona;27TF;Puerto de la Cruz;44
19TF;Granadilla de Abona;28TF;Realejos, Los;30
19TF;Granadilla de Abona;29TF;Rosario, El;36
19TF;Granadilla de Abona;33TF;Santiago del Teide;99
19TF;Granadilla de Abona;36TF;Tacoronte;26
19TF;Granadilla de Abona;40TF;Arona (sección 011 y otras secciones del distrito 01);1.133
19TF;Granadilla de Abona;41TF;San Cristóbal de La Laguna (distrito 01);101
19TF;Granadilla de Abona;42TF;San Cristóbal de La Laguna (distrito 02);50
19TF;Granadilla de Abona;43TF;San Cristóbal de La Laguna (distrito 03);106
19TF;Granadilla de Abona;48TF;Santa Cruz de Tenerife (distrito 02);57
19TF;Granadilla de Abona;49TF;Santa Cruz de Tenerife (distrito 03);135
19TF;Granadilla de Abona;51TF;Santa Cruz de Tenerife (distrito 05);42
19TF;Granadilla de Abona;52TF;Santa Cruz de Tenerife (distrito 06);23
19TF;Granadilla de Abona;53TF;Santa Cruz de Tenerife (distrito 09);105
19TF;Granadilla de Abona;55TF;Santa Cruz de Tenerife (distrito 11);45
19TF;Granadilla de Abona;56TF;Santa Cruz de Tenerife (distrito 12);44
19TF;Granadilla de Abona;57TF;Arona (sección 016 y otras secciones del distrito 01);716
19TF;Granadilla de Abona;58TF;Arona (sección 026 y otras secciones del distrito 01);408
19TF;Granadilla de Abona;OTRO;OTROS DESTINOS;424
19TO;Menasalbas y otros municipios;13CR;Puebla de Don Rodrigo y otros municipios;21
19TO;Menasalbas y otros municipios;14TO;Polán y otros municipios;104
19TO;Menasalbas y otros municipios;18TO;Pulgar y otros municipios;86
19TO;Menasalbas y otros municipios;19TO;Menasalbas y otros municipios;3.805
19TO;Menasalbas y otros municipios;47TO;Navahermosa y otros municipios;35
19TO;Menasalbas y otros municipios;74TO;Toledo (distrito 05);78
19TO;Menasalbas y otros municipios;OTRO;OTROS DESTINOS;291
19VA;Arroyo de la Encomienda;01VA;Boecillo y Viana de Cega;57
19VA;Arroyo de la Encomienda;02VA;Mojados y otros municipios;41
19VA;Arroyo de la Encomienda;03VA;Aldeamayor de San Martín y Portillo;25
19VA;Arroyo de la Encomienda;04VA;Santovenia de Pisuerga y Cabezón de Pisuerga;43
19VA;Arroyo de la Encomienda;04ZM;Toro y otros municipios;17
19VA;Arroyo de la Encomienda;05VA;Villanubla y otros municipios;54
19VA;Arroyo de la Encomienda;06VA;Valladolid (SCD Pajarillos Altos - Las Flores) y Renedo de Esgueva;38
19VA;Arroyo de la Encomienda;07VA;Traspinedo y otros municipios;19
19VA;Arroyo de la Encomienda;11VA;Olmedo y otros municipios;16
19VA;Arroyo de la Encomienda;13VA;Rueda y otros municipios;19
19VA;Arroyo de la Encomienda;16PA;Villamuriel de Cerrato;44
19VA;Arroyo de la Encomienda;19VA;Arroyo de la Encomienda;10.599
19VA;Arroyo de la Encomienda;21VA;Cistérniga;75
19VA;Arroyo de la Encomienda;23VA;Laguna de Duero;62
19VA;Arroyo de la Encomienda;24VA;Medina del Campo;25
19VA;Arroyo de la Encomienda;26VA;Simancas;223
19VA;Arroyo de la Encomienda;27VA;Tordesillas;42
19VA;Arroyo de la Encomienda;29VA;Zaratán;71
19VA;Arroyo de la Encomienda;30VA;Valladolid (SCD Centro - Universidad);247
19VA;Arroyo de la Encomienda;31VA;Valladolid (SCD Paseo Zorrilla Bajo - Campo Grande);86
19VA;Arroyo de la Encomienda;32VA;Valladolid (SCD Caño Argales);43
19VA;Arroyo de la Encomienda;33VA;Valladolid (SCD Las Delicias);75
19VA;Arroyo de la Encomienda;34VA;Valladolid (SCD Caamaño - Las Viudas);350
19VA;Arroyo de la Encomienda;35VA;Valladolid (SCD Plaza Circular - Vadillos);41
19VA;Arroyo de la Encomienda;36VA;Valladolid (SCD Pajarillos Bajos);19
19VA;Arroyo de la Encomienda;37VA;Valladolid (SCD San Juan - Batallas - Pilarica);43
19VA;Arroyo de la Encomienda;38VA;Valladolid (SCD Hospital - Barrio España - San Pedro Regalado);96
19VA;Arroyo de la Encomienda;39VA;Valladolid (SCD Rondilla);60
19VA;Arroyo de la Encomienda;40VA;Valladolid (SCD San Nicolás - San Miguel);52
19VA;Arroyo de la Encomienda;41CA;Suances;18
19VA;Arroyo de la Encomienda;41VA;Valladolid (SCD Canal de Castilla - La Overuela);147
19VA;Arroyo de la Encomienda;42VA;Valladolid (SCD Huerta del Rey);217
19VA;Arroyo de la Encomienda;43VA;Valladolid (SCD Parquesol - Arturo Eyries);326
19VA;Arroyo de la Encomienda;44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);129
19VA;Arroyo de la Encomienda;45VA;Valladolid (SCD La Rubia - Covaresa - Puente Duero);539
19VA;Arroyo de la Encomienda;OTRO;OTROS DESTINOS;933
19ZA;Jarque y otros municipios;03SO;Ólvega y otros municipios;23
19ZA;Jarque y otros municipios;17ZA;Illueca y otros municipios;60
19ZA;Jarque y otros municipios;19ZA;Jarque y otros municipios;2.491
19ZA;Jarque y otros municipios;20ZA;Tarazona y otros municipios;163
19ZA;Jarque y otros municipios;29ZA;Mallén y otros municipios;28
19ZA;Jarque y otros municipios;30ZA;Borja y otros municipios;32
19ZA;Jarque y otros municipios;36NA;Murchante y otros municipios;23
19ZA;Jarque y otros municipios;OTRO;OTROS DESTINOS;251
19ZM;Fermoselle y otros municipios;02ZM;Zamora (distrito 02) y otros municipios;43
19ZM;Fermoselle y otros municipios;03ZM;Zamora (distrito 03) y otros municipios;65
19ZM;Fermoselle y otros municipios;17SA;Ledesma y otros municipios;22
19ZM;Fermoselle y otros municipios;18SA;Vitigudino y otros municipios;35
19ZM;Fermoselle y otros municipios;18ZM;Muelas del Pan y otros municipios;122
19ZM;Fermoselle y otros municipios;19ZM;Fermoselle y otros municipios;3.513
19ZM;Fermoselle y otros municipios;20SA;Aldeadávila de la Ribera y otros municipios;79
19ZM;Fermoselle y otros municipios;21ZM;Zamora (distrito 01);37
19ZM;Fermoselle y otros municipios;22ZM;Zamora (distrito 05);18
19ZM;Fermoselle y otros municipios;OTRO;OTROS DESTINOS;165
200B;Barcelona (SCD els barris de la Vall d'Hebron);017B;Sant Vicenç de Montalt y Caldes d'Estrac;17
200B;Barcelona (SCD els barris de la Vall d'Hebron);069B;Esplugues de Llobregat;43
200B;Barcelona (SCD els barris de la Vall d'Hebron);072B;Gavà;22
200B;Barcelona (SCD els barris de la Vall d'Hebron);086B;Montcada i Reixac;20
200B;Barcelona (SCD els barris de la Vall d'Hebron);108B;Sant Adrià de Besòs;24
200B;Barcelona (SCD els barris de la Vall d'Hebron);136B;Sitges;30
200B;Barcelona (SCD els barris de la Vall d'Hebron);155B;Badalona (distrito 08);17
200B;Barcelona (SCD els barris de la Vall d'Hebron);156B;Badalona (distrito 09);19
200B;Barcelona (SCD els barris de la Vall d'Hebron);158B;Barcelona (SCD el Raval nord);21
